FLTID,REG,ADEP,ADES,ALDT,AIBT,SIBT,FLTRUL,TYPE,WTC,RWY,STND,SRC_PHASE,SAM_ID,C40_CROSS_TIME,C40_CROSS_LAT,C40_CROSS_LON,C40_CROSS_FL,C100_CROSS_TIME,C100_CROSS_LAT,C100_CROSS_LON,C100_CROSS_FL
ACA896,CFRSA,CYVR,EGLL,2018-06-10T12:56:00Z,2018-06-10T13:02:00Z,2018-06-10T13:20:00Z,IFR,B789,H,09L,243,ARR,219158147,2018-06-10T12:37:44Z,51.9113888888889,-1.27777777777778,156,2018-06-10T12:27:55Z,52.79500000000001,-2.1158333333333297,307
UAE29,A6EEJ,OMDB,EGLL,2018-06-10T13:15:00Z,2018-06-10T13:25:00Z,2018-06-10T13:25:00Z,IFR,A388,H,09L,305,ARR,219160370,2018-06-10T12:54:49Z,51.68,0.5636111111111111,137,2018-06-10T12:44:25Z,51.61916666666669,2.2161111111111103,304
AAL136,N724AN,KLAX,EGLL,2018-06-10T12:54:00Z,2018-06-10T12:59:00Z,2018-06-10T13:25:00Z,IFR,B77W,H,09L,336,ARR,219157256,2018-06-10T12:35:33Z,51.9908333333333,-1.14916666666667,157,2018-06-10T12:26:43Z,52.8155555555555,-2.0777777777777806,311
BAW577,GEUPV,LIML,EGLL,2018-06-10T13:06:00Z,2018-06-10T13:14:00Z,2018-06-10T13:25:00Z,IFR,A319,MJ,09L,520,ARR,219170256,2018-06-10T12:49:26Z,51.09,0.405555555555556,157,2018-06-10T12:40:15Z,50.388055555555496,1.54027777777778,328
BAW835W,GEUYY,EIDW,EGLL,2018-06-10T13:05:00Z,2018-06-10T13:13:00Z,2018-06-10T13:25:00Z,IFR,A320,MJ,09L,523,ARR,219171366,2018-06-10T12:49:23Z,51.9980555555556,-1.13361111111111,152,2018-06-10T12:41:12Z,52.765277777777804,-2.18194444444444,250
BAW939,GEUPU,EDDL,EGLL,2018-06-10T13:17:00Z,2018-06-10T13:24:00Z,2018-06-10T13:30:00Z,IFR,A319,MJ,09L,517,ARR,219171554,2018-06-10T12:56:28Z,51.6677777777778,0.568333333333333,139,2018-06-10T12:46:13Z,51.61916666666669,2.21555555555556,315
BAW315,GEUPS,LFPG,EGLL,2018-06-10T13:18:00Z,2018-06-10T13:24:00Z,2018-06-10T13:30:00Z,IFR,A319,MJ,09L,512,ARR,219172186,2018-06-10T12:58:08Z,51.090555555555504,0.40416666666666706,169,2018-06-10T12:48:39Z,50.3202777777778,1.43833333333333,230
BAW82,GZZZC,DNAA,EGLL,2018-06-10T13:03:00Z,2018-06-10T13:10:00Z,2018-06-10T13:35:00Z,IFR,B772,H,09L,535,ARR,219162451,2018-06-10T12:41:50Z,51.0908333333333,0.403611111111111,168,2018-06-10T12:32:49Z,50.384722222222194,1.53111111111111,339
SAS805,LNRRN,ENGM,EGLL,2018-06-10T14:17:00Z,2018-06-10T14:26:00Z,2018-06-10T13:35:00Z,IFR,B737,MJ,09L,225,ARR,219172025,2018-06-10T13:54:01Z,51.66888888888891,0.5658333333333331,134,2018-06-10T13:43:11Z,51.8905555555556,2.1402777777777806,285
EIN03N,EICVB,EGAC,EGLL,2018-06-10T13:01:00Z,2018-06-10T13:16:00Z,2018-06-10T13:35:00Z,IFR,A320,MJ,09L,221L,ARR,219171820,2018-06-10T12:47:20Z,51.99166666666669,-1.1461111111111102,158,2018-06-10T12:38:40Z,52.748333333333306,-2.2141666666666704,312
BAW18,GZBJB,RKSI,EGLL,2018-06-10T13:20:00Z,2018-06-10T13:39:00Z,2018-06-10T13:35:00Z,IFR,B788,H,09L,545,ARR,219156841,2018-06-10T13:00:11Z,51.6797222222222,0.5625,140,2018-06-10T12:49:53Z,51.81083333333329,2.1727777777777804,269
DLH3NC,DAISO,EDDF,EGLL,2018-06-10T13:49:00Z,2018-06-10T13:57:00Z,2018-06-10T13:40:00Z,IFR,A321,MJ,09L,216,ARR,219171544,2018-06-10T13:33:27Z,51.6797222222222,0.5630555555555551,125,2018-06-10T13:23:47Z,51.5847222222222,2.2202777777777807,296
BAW8599,GEUPL,LGKR,EGLL,2018-06-10T13:27:00Z,2018-06-10T13:33:00Z,2018-06-10T13:40:00Z,IFR,A319,MJ,09L,521,ARR,219168451,2018-06-10T13:08:07Z,51.090555555555504,0.40416666666666706,159,2018-06-10T12:59:30Z,50.384444444444384,1.5319444444444397,359
BAW45T,GEUOD,LIRF,EGLL,2018-06-10T13:57:00Z,2018-06-10T14:04:00Z,2018-06-10T13:45:00Z,IFR,A319,MJ,09L,522,ARR,219169956,2018-06-10T13:41:11Z,51.0908333333333,0.40388888888888913,151,2018-06-10T13:33:06Z,50.34944444444439,1.4819444444444396,342
BAW815,GEUUR,EKCH,EGLL,2018-06-10T13:25:00Z,2018-06-10T13:30:00Z,2018-06-10T13:45:00Z,IFR,A320,MJ,09L,515,ARR,219170938,2018-06-10T13:06:32Z,51.6805555555556,0.563333333333333,132,2018-06-10T12:57:11Z,51.78666666666669,2.1802777777777806,315
KAC101,9KAOH,OKBK,EGLL,2018-06-10T21:06:00Z,2018-06-10T21:25:00Z,2018-06-10T13:45:00Z,IFR,B77W,H,09L,407,ARR,219176192,2018-06-10T20:46:48Z,51.68,0.5630555555555551,116,2018-06-10T20:37:42Z,51.612500000000004,2.21638888888889,311
BAW52CV,GEUYS,LKPR,EGLL,2018-06-10T13:34:00Z,2018-06-10T13:39:00Z,2018-06-10T13:50:00Z,IFR,A320,MJ,09L,330,ARR,219171016,2018-06-10T13:17:38Z,51.680277777777796,0.561111111111111,124,2018-06-10T13:07:26Z,51.7833333333333,2.17833333333333,299
BAW12DT,GEUUE,LHBP,EGLL,2018-06-10T14:51:00Z,2018-06-10T14:55:00Z,2018-06-10T13:55:00Z,IFR,A320,MJ,09L,330,ARR,219169954,2018-06-10T14:32:22Z,51.68,0.560277777777778,123,2018-06-10T14:21:39Z,51.5486111111111,2.2177777777777807,283
BAW485,GTTOB,LEBL,EGLL,2018-06-10T14:19:00Z,2018-06-10T14:28:00Z,2018-06-10T13:55:00Z,IFR,A320,MJ,09L,309,ARR,219170783,2018-06-10T13:58:54Z,50.9297222222222,-1.0661111111111101,152,2018-06-10T13:50:16Z,50.001388888888904,-1.68083333333333,307
THY7AH,TCLKA,LTBA,EGLL,2018-06-10T13:47:00Z,2018-06-10T13:51:00Z,2018-06-10T13:55:00Z,IFR,B77W,H,09L,233,ARR,219167841,2018-06-10T13:26:55Z,51.67944444444439,0.563333333333333,138,2018-06-10T13:16:41Z,51.7811111111111,2.18166666666667,312
BAW969H,GEUPD,EDDH,EGLL,2018-06-10T13:43:00Z,2018-06-10T13:54:00Z,2018-06-10T13:55:00Z,IFR,A319,MJ,09L,508,ARR,219171878,2018-06-10T13:24:31Z,51.6480555555556,0.576111111111111,138,2018-06-10T13:14:48Z,51.8238888888889,2.1647222222222204,320
