FLTID,REG,ADEP,ADES,ATOT,AOBT,SOBT,FLTRUL,TYPE,WTC,RWY,STND,SRC_PHASE,SAM_ID,C40_CROSS_TIME,C40_CROSS_LAT,C40_CROSS_LON,C40_CROSS_FL,C100_CROSS_TIME,C100_CROSS_LAT,C100_CROSS_LON,C100_CROSS_FL
ACA857,CFITU,EGLL,CYYZ,2018-06-10T11:23:00Z,2018-06-10T11:01:00Z,2018-06-10T11:05:00Z,IFR,B77W,H,09R,238,DEP,219169843,2018-06-10T11:32:35Z,51.5672222222222,-1.52027777777778,187,2018-06-10T11:40:31Z,51.9697222222222,-3.0241666666666704,318
SWR33J,HBIPT,EGLL,LSZH,2018-06-10T12:15:00Z,2018-06-10T11:54:00Z,2018-06-10T11:05:00Z,IFR,A319,MJ,09R,219,DEP,219170434,2018-06-10T12:24:32Z,51.3388888888889,0.5822222222222219,146,2018-06-10T12:33:14Z,51.1636111111111,2.15388888888889,301
EWG9P,DAGWB,EGLL,EDDL,2018-06-10T11:57:00Z,2018-06-10T11:42:00Z,2018-06-10T11:10:00Z,IFR,A319,MJ,09R,223,DEP,219169989,2018-06-10T12:06:57Z,51.8027777777778,0.476111111111111,168,2018-06-10T12:14:41Z,52.0755555555555,2.05361111111111,288
BAW340,GEUOF,EGLL,LFKF,2018-06-10T11:38:00Z,2018-06-10T11:19:00Z,2018-06-10T11:10:00Z,IFR,A319,MJ,09R,520,DEP,219169939,2018-06-10T11:47:46Z,50.81361111111109,-0.3763888888888891,189,2018-06-10T11:56:53Z,49.98416666666669,0.693611111111111,341
BAW714T,GEUYL,EGLL,LSZH,2018-06-10T12:14:00Z,2018-06-10T11:20:00Z,2018-06-10T11:10:00Z,IFR,A320,MJ,09R,561,DEP,219169992,2018-06-10T12:23:35Z,50.82638888888891,-0.23361111111111102,183,2018-06-10T12:32:17Z,49.9977777777778,0.740833333333333,291
AEE601,SXDGQ,EGLL,LGAV,2018-06-10T11:36:00Z,2018-06-10T11:13:00Z,2018-06-10T11:15:00Z,IFR,A321,MJ,09R,217,DEP,219170079,2018-06-10T11:46:47Z,50.8358333333333,-0.177777777777778,152,2018-06-10T11:54:47Z,49.983611111111095,0.6941666666666668,249
UAL919,N26906,EGLL,KIAD,2018-06-10T11:40:00Z,2018-06-10T11:16:00Z,2018-06-10T11:15:00Z,IFR,B788,H,09R,246,DEP,219170173,2018-06-10T11:50:24Z,51.587222222222195,-1.5172222222222198,185,2018-06-10T11:58:32Z,51.9280555555556,-3.0452777777777804,328
AAL87,N811AB,EGLL,KORD,2018-06-10T11:34:00Z,2018-06-10T11:18:00Z,2018-06-10T11:15:00Z,IFR,B788,H,09R,328,DEP,219170107,2018-06-10T11:43:14Z,52.14194444444439,-0.39666666666666706,155,2018-06-10T11:51:37Z,53.0258333333333,-1.4716666666666698,297
AAL109,N754AN,EGLL,KLAX,2018-06-10T11:32:00Z,2018-06-10T11:12:00Z,2018-06-10T11:15:00Z,IFR,B772,H,09R,330,DEP,219170216,2018-06-10T11:41:43Z,52.142500000000005,-0.40888888888888913,163,2018-06-10T11:50:41Z,53.03166666666669,-1.4444444444444398,288
BAW291,GCIVJ,EGLL,KPHX,2018-06-10T11:43:00Z,2018-06-10T11:25:00Z,2018-06-10T11:15:00Z,IFR,B744,H,09R,335,DEP,219170679,2018-06-10T11:53:29Z,52.1433333333333,-0.41416666666666707,169,2018-06-10T12:01:46Z,53.04944444444439,-1.3686111111111101,312
UAL949,N2644U,EGLL,KSFO,2018-06-10T11:53:00Z,2018-06-10T11:18:00Z,2018-06-10T11:20:00Z,IFR,B77W,H,09R,249,DEP,219170332,2018-06-10T12:02:11Z,52.1386111111111,-0.5966666666666669,188,2018-06-10T12:10:15Z,53.03666666666669,-1.42277777777778,320
CPA252,BKQK,EGLL,VHHH,2018-06-10T11:39:00Z,2018-06-10T11:20:00Z,2018-06-10T11:20:00Z,IFR,B77W,H,09R,307,DEP,219170313,2018-06-10T11:48:28Z,51.7994444444444,0.47972222222222205,144,2018-06-10T11:56:25Z,52.0497222222222,2.0691666666666704,277
BAW249,GZBJI,EGLL,SBGL,2018-06-10T11:46:00Z,2018-06-10T11:28:00Z,2018-06-10T11:20:00Z,IFR,B788,H,09R,535,DEP,219170354,2018-06-10T11:56:03Z,51.03,-1.2474999999999998,170,2018-06-10T12:04:32Z,50.1711111111111,-2.0944444444444397,294
SHT2M,GEUYR,EGLL,EGCC,2018-06-10T11:45:00Z,2018-06-10T11:29:00Z,2018-06-10T11:20:00Z,IFR,A320,MJ,09R,522,DEP,219170372,2018-06-10T11:55:27Z,52.13250000000001,-0.6624999999999999,180,2018-06-10T12:05:26Z,52.9538888888889,-1.7258333333333298,123
BAW490U,GEUUT,EGLL,LXGB,2018-06-10T11:42:00Z,2018-06-10T11:24:00Z,2018-06-10T11:25:00Z,IFR,A320,MJ,09R,311,DEP,219170426,2018-06-10T11:51:44Z,51.0036111111111,-1.2091666666666698,177,2018-06-10T12:00:00Z,50.12611111111111,-2.0033333333333303,298
AAL81,N732AN,EGLL,KDFW,2018-06-10T11:48:00Z,2018-06-10T11:29:00Z,2018-06-10T11:25:00Z,IFR,B77W,H,09R,340,DEP,219170402,2018-06-10T11:56:51Z,52.1422222222222,-0.3963888888888891,168,2018-06-10T12:05:30Z,53.046388888888906,-1.3802777777777802,310
DAL19,N184DN,EGLL,KDTW,2018-06-10T11:59:00Z,2018-06-10T11:43:00Z,2018-06-10T11:30:00Z,IFR,B763,H,09R,331,DEP,219170597,2018-06-10T12:09:04Z,51.5908333333333,-1.5158333333333298,193,2018-06-10T12:17:10Z,51.8783333333333,-3.06583333333333,314
THA911,HSTUC,EGLL,VTBS,2018-06-10T11:51:00Z,2018-06-10T11:32:00Z,2018-06-10T11:30:00Z,IFR,A388,H,09R,244,DEP,219170664,2018-06-10T12:01:00Z,51.8588888888889,0.4191666666666671,135,2018-06-10T12:09:19Z,52.0680555555556,2.0580555555555597,252
BAW6PW,GEUYI,EGLL,LEPA,2018-06-10T11:49:00Z,2018-06-10T11:32:00Z,2018-06-10T11:30:00Z,IFR,A320,MJ,09R,509,DEP,219170641,2018-06-10T11:58:57Z,50.8127777777778,-0.39694444444444404,177,2018-06-10T12:07:33Z,49.84916666666669,0.0816666666666667,306
BAW17,GZBKI,EGLL,RKSI,2018-06-10T11:55:00Z,2018-06-10T11:31:00Z,2018-06-10T11:35:00Z,IFR,B789,H,09R,536,DEP,219170835,2018-06-10T12:04:43Z,51.87,0.40638888888888913,122,2018-06-10T12:12:51Z,52.202222222222204,1.9669444444444397,250
AIC176,VTANQ,EGLL,VAAH,2018-06-10T12:11:00Z,2018-06-10T11:48:00Z,2018-06-10T11:35:00Z,IFR,B788,H,09R,247,DEP,219170830,2018-06-10T12:21:20Z,51.374444444444386,0.592777777777778,123,2018-06-10T12:29:40Z,51.1652777777778,2.1552777777777803,282
DAL31,N822NW,EGLL,KATL,2018-06-10T12:08:00Z,2018-06-10T11:50:00Z,2018-06-10T11:35:00Z,IFR,A333,H,09R,313,DEP,219170828,2018-06-10T12:19:01Z,51.483611111111095,-1.52888888888889,160,2018-06-10T12:27:35Z,51.852777777777796,-3.0694444444444398,272
