FLTID,REG,ADEP,ADES,ATOT,AOBT,SOBT,FLTRUL,TYPE,WTC,RWY,STND,SRC_PHASE,SAM_ID,C40_CROSS_TIME,C40_CROSS_LAT,C40_CROSS_LON,C40_CROSS_FL,C100_CROSS_TIME,C100_CROSS_LAT,C100_CROSS_LON,C100_CROSS_FL
BAW940,GEUOI,EGLL,EDDL,2018-06-08T12:36:00Z,2018-06-08T12:15:00Z,2018-06-08T12:15:00Z,IFR,A319,MJ,09R,501,DEP,219109489,2018-06-08T12:44:31Z,51.36916666666669,0.5922222222222219,171,2018-06-08T12:53:07Z,51.1908333333333,2.16305555555556,330
BAW82GR,GBNWA,EGLL,LGAV,2018-06-08T12:49:00Z,2018-06-08T12:31:00Z,2018-06-08T12:15:00Z,IFR,B763,H,09R,513,DEP,219109364,2018-06-08T12:57:47Z,51.4027777777778,0.5997222222222219,146,2018-06-08T13:05:50Z,51.2136111111111,2.17166666666667,294
SHT12G,GEUPA,EGLL,EGNT,2018-06-08T12:50:00Z,2018-06-08T12:28:00Z,2018-06-08T12:20:00Z,IFR,A319,MJ,09R,511,DEP,219109584,2018-06-08T13:00:17Z,52.14194444444439,-0.40416666666666706,155,2018-06-08T13:09:36Z,53.0930555555556,-1.12555555555556,280
BAW780F,GBZHB,EGLL,ESSA,2018-06-08T13:06:00Z,2018-06-08T12:40:00Z,2018-06-08T12:20:00Z,IFR,B763,H,09R,512,DEP,219109588,2018-06-08T13:14:35Z,51.88166666666668,0.393055555555556,129,2018-06-08T13:23:02Z,52.278611111111104,1.90861111111111,326
BAW860J,GEUUS,EGLL,LKPR,2018-06-08T13:00:00Z,2018-06-08T12:42:00Z,2018-06-08T12:20:00Z,IFR,A320,MJ,09R,305R,DEP,219109541,2018-06-08T13:08:41Z,51.24416666666669,0.5394444444444441,184,2018-06-08T13:17:12Z,51.13833333333331,2.1461111111111104,304
BAW460M,GYMMU,EGLL,LEMD,2018-06-08T12:41:00Z,2018-06-08T12:20:00Z,2018-06-08T12:20:00Z,IFR,B772,H,09R,564,DEP,219109594,2018-06-08T12:51:01Z,51.01,-1.21805555555556,169,2018-06-08T12:59:31Z,50.190555555555505,-2.13611111111111,300
EIN16C,EIDEL,EGLL,EIDW,2018-06-08T12:48:00Z,2018-06-08T12:28:00Z,2018-06-08T12:25:00Z,IFR,A320,MJ,09R,221R,DEP,219109713,2018-06-08T12:57:59Z,52.1380555555555,-0.6019444444444441,169,2018-06-08T13:06:48Z,53.021111111111104,-1.4858333333333298,303
AFL2579,VQBQY,EGLL,UUEE,2018-06-08T13:04:00Z,2018-06-08T12:39:00Z,2018-06-08T12:25:00Z,IFR,A333,H,09R,414,DEP,219109667,2018-06-08T13:13:11Z,51.8855555555555,0.388333333333333,166,2018-06-08T13:21:38Z,52.20250000000001,1.97,300
ASL42J,YUAPF,EGLL,LYBE,2018-06-08T13:19:00Z,2018-06-08T12:57:00Z,2018-06-08T12:30:00Z,IFR,A319,MJ,09R,419,DEP,219110385,2018-06-08T13:29:01Z,51.360277777777796,0.5902777777777779,133,2018-06-08T13:37:27Z,51.22611111111111,2.17305555555556,295
BAW314,GEUPE,EGLL,LFPG,2018-06-08T13:12:00Z,2018-06-08T12:43:00Z,2018-06-08T12:30:00Z,IFR,A319,MJ,09R,515,DEP,219109779,2018-06-08T13:21:18Z,50.86,-0.0616666666666667,203,2018-06-08T13:30:29Z,50.0397222222222,0.8647222222222221,250
DLH1U,DAISL,EGLL,EDDF,2018-06-08T14:22:00Z,2018-06-08T13:56:00Z,2018-06-08T12:30:00Z,IFR,A321,MJ,09R,217,DEP,219111792,2018-06-08T14:30:59Z,51.3355555555556,0.5824999999999999,80,2018-06-08T14:39:46Z,51.108333333333306,2.13666666666667,237
VIR153,GVSXY,EGLL,KJFK,2018-06-08T12:46:00Z,2018-06-08T12:27:00Z,2018-06-08T12:30:00Z,IFR,A333,H,09R,316,DEP,219109918,2018-06-08T12:56:12Z,51.610277777777796,-1.5094444444444397,150,2018-06-08T13:04:41Z,51.885,-3.0627777777777805,254
BAW974,GEUOB,EGLL,EDDH,2018-06-08T12:53:00Z,2018-06-08T12:41:00Z,2018-06-08T12:35:00Z,IFR,A319,MJ,09R,527,DEP,219109971,2018-06-08T13:01:35Z,51.899166666666694,0.37166666666666703,173,2018-06-08T13:09:52Z,52.2072222222222,1.9674999999999998,319
BAW169,GYMMN,EGLL,ZSPD,2018-06-08T12:58:00Z,2018-06-08T12:39:00Z,2018-06-08T12:40:00Z,IFR,B772,H,09R,534,DEP,219110171,2018-06-08T13:07:03Z,51.901666666666685,0.367222222222222,127,2018-06-08T13:15:26Z,52.2527777777778,1.93055555555556,272
AZA211,EIIKL,EGLL,LIRF,2018-06-08T13:21:00Z,2018-06-08T12:55:00Z,2018-06-08T12:40:00Z,IFR,A320,MJ,09R,421,DEP,219110156,2018-06-08T13:31:09Z,50.818611111111096,-0.3038888888888891,204,2018-06-08T13:40:14Z,49.9513888888889,0.5866666666666669,320
UAL4,N76021,EGLL,KIAH,2018-06-08T13:28:00Z,2018-06-08T12:51:00Z,2018-06-08T12:40:00Z,IFR,B772,H,09R,232,DEP,219110102,2018-06-08T13:37:33Z,51.5711111111111,-1.52111111111111,184,2018-06-08T13:45:32Z,51.8608333333333,-3.07138888888889,296
BAW396,GEUPU,EGLL,EBBR,2018-06-08T13:02:00Z,2018-06-08T12:41:00Z,2018-06-08T12:40:00Z,IFR,A319,MJ,09R,557,DEP,219110191,2018-06-08T13:11:10Z,51.3647222222222,0.590833333333333,169,2018-06-08T13:20:32Z,51.163888888888906,2.1544444444444397,190
BAW263,GCIVR,EGLL,OERK,2018-06-08T13:07:00Z,2018-06-08T12:45:00Z,2018-06-08T12:45:00Z,IFR,B744,H,09R,576,DEP,219110252,2018-06-08T13:15:06Z,51.295833333333306,0.5641666666666669,185,2018-06-08T13:22:58Z,51.0775,2.12194444444444,345
TAP359A,CSTNY,EGLL,LPPT,2018-06-08T13:45:00Z,2018-06-08T13:21:00Z,2018-06-08T12:45:00Z,IFR,A320,MJ,09R,216,DEP,219110358,2018-06-08T13:56:37Z,50.9975,-1.1988888888888902,134,2018-06-08T14:06:32Z,50.2538888888889,-2.25388888888889,285
SWR30K,HBIPY,EGLL,LSZH,2018-06-08T13:57:00Z,2018-06-08T13:26:00Z,2018-06-08T12:45:00Z,IFR,A319,MJ,09R,219,DEP,219110246,2018-06-08T14:05:52Z,51.3325,0.58,199,2018-06-08T14:14:46Z,51.1052777777778,2.13611111111111,347
SHT8W,GEUPS,EGLL,EGPH,2018-06-08T13:13:00Z,2018-06-08T12:48:00Z,2018-06-08T12:45:00Z,IFR,A319,MJ,09R,507,DEP,219110299,2018-06-08T13:23:37Z,52.14194444444439,-0.542777777777778,150,2018-06-08T13:32:31Z,53.0427777777778,-1.395,328
BAW908N,GEUPJ,EGLL,EDDF,2018-06-08T13:14:00Z,2018-06-08T12:50:00Z,2018-06-08T12:45:00Z,IFR,A319,MJ,09R,518,DEP,219110353,2018-06-08T13:23:10Z,51.367222222222196,0.5916666666666669,189,2018-06-08T13:31:54Z,51.157222222222195,2.15333333333333,347
EIN715,EIDVE,EGLL,EICK,2018-06-08T13:14:00Z,2018-06-08T12:49:00Z,2018-06-08T12:50:00Z,IFR,A320,MJ,09R,221L,DEP,219110396,2018-06-08T13:23:32Z,51.5825,-1.5174999999999998,202,2018-06-08T13:32:01Z,51.725833333333306,-3.11083333333333,320
DLH4MC,DAIUY,EGLL,EDDM,2018-06-08T13:17:00Z,2018-06-08T12:56:00Z,2018-06-08T12:50:00Z,IFR,A320,MJ,09R,218R,DEP,219110495,2018-06-08T13:25:57Z,51.3486111111111,0.586388888888889,180,2018-06-08T13:34:18Z,51.218333333333305,2.17166666666667,302
SAS532,EISIC,EGLL,ESSA,2018-06-08T13:01:00Z,2018-06-08T12:47:00Z,2018-06-08T12:50:00Z,IFR,A320,MJ,09R,224,DEP,219110503,2018-06-08T13:10:14Z,51.8622222222222,0.4166666666666671,188,2018-06-08T13:18:49Z,52.1877777777778,1.9794444444444397,331
BAW362,GEUUJ,EGLL,LFLL,2018-06-08T13:16:00Z,2018-06-08T12:52:00Z,2018-06-08T12:50:00Z,IFR,A320,MJ,09R,329,DEP,219110390,2018-06-08T13:25:28Z,50.8313888888889,-0.204166666666667,194,2018-06-08T13:34:10Z,49.969166666666695,0.646666666666667,290
BAW209,GBNLN,EGLL,KMIA,2018-06-08T13:44:00Z,2018-06-08T13:07:00Z,2018-06-08T12:55:00Z,IFR,B744,H,09R,327,DEP,219111191,2018-06-08T13:54:56Z,51.053055555555595,-1.28111111111111,127,2018-06-08T14:03:48Z,50.775000000000006,-2.8588888888888895,239
AAL733,N274AY,EGLL,KCLT,2018-06-08T13:23:00Z,2018-06-08T12:55:00Z,2018-06-08T13:00:00Z,IFR,A333,H,09R,332,DEP,219110682,2018-06-08T13:33:19Z,51.4886111111111,-1.52916666666667,169,2018-06-08T13:42:06Z,51.7908333333333,-3.09138888888889,272
BAW850T,GEUUK,EGLL,EPWA,2018-06-08T13:41:00Z,2018-06-08T13:14:00Z,2018-06-08T13:00:00Z,IFR,A320,MJ,09R,309,DEP,219111220,2018-06-08T13:50:09Z,51.9011111111111,0.3675,167,2018-06-08T13:58:20Z,52.32166666666669,1.8680555555555602,291
BAW12P,GEUUU,EGLL,EPKK,2018-06-08T13:20:00Z,2018-06-08T13:07:00Z,2018-06-08T13:00:00Z,IFR,A320,MJ,09R,535,DEP,219110925,2018-06-08T13:30:02Z,51.844444444444385,0.4341666666666671,148,2018-06-08T13:38:43Z,52.12888888888891,2.02055555555556,286
BAW374,GMEDL,EGLL,LFBO,2018-06-08T13:25:00Z,2018-06-08T13:03:00Z,2018-06-08T13:00:00Z,IFR,A321,MJ,09R,521,DEP,219110739,2018-06-08T13:34:50Z,50.81305555555559,-0.38027777777777805,166,2018-06-08T13:43:29Z,49.8513888888889,0.10250000000000001,284
BAW732,GEUPV,EGLL,LSGG,2018-06-08T13:32:00Z,2018-06-08T12:58:00Z,2018-06-08T13:00:00Z,IFR,A319,MJ,09R,502,DEP,219110729,2018-06-08T13:40:58Z,50.818055555555596,-0.31416666666666704,199,2018-06-08T13:49:54Z,49.97416666666669,0.663055555555556,348
SHT2V,GEUPG,EGLL,EGCC,2018-06-08T13:58:00Z,2018-06-08T13:17:00Z,2018-06-08T13:05:00Z,IFR,A319,MJ,09R,503,DEP,219111016,2018-06-08T14:08:44Z,52.1386111111111,-0.32416666666666705,168,2018-06-08T14:20:42Z,53.009166666666694,-1.5397222222222198,134
BAW818,GEUPR,EGLL,EKCH,2018-06-08T13:15:00Z,2018-06-08T12:59:00Z,2018-06-08T13:05:00Z,IFR,A319,MJ,09R,520,DEP,219110991,2018-06-08T13:24:42Z,51.92166666666669,0.339722222222222,180,2018-06-08T13:33:18Z,52.317499999999995,1.87222222222222,329
DAL33,N807NW,EGLL,KATL,2018-06-08T13:30:00Z,2018-06-08T12:59:00Z,2018-06-08T13:05:00Z,IFR,A333,H,09R,325,DEP,219110969,2018-06-08T13:40:14Z,51.5622222222222,-1.52138888888889,150,2018-06-08T13:48:57Z,51.8611111111111,-3.0711111111111102,262
SAS88C,OYKAY,EGLL,EKCH,2018-06-08T13:18:00Z,2018-06-08T13:01:00Z,2018-06-08T13:05:00Z,IFR,A320,MJ,09R,226,DEP,219111005,2018-06-08T13:27:49Z,51.9058333333333,0.36111111111111094,160,2018-06-08T13:36:46Z,52.2533333333333,1.92888888888889,315
EWG2461,DAKNH,EGLL,EDDS,2018-06-08T14:03:00Z,2018-06-08T13:41:00Z,2018-06-08T13:05:00Z,IFR,A319,MJ,09R,220,DEP,219111006,2018-06-08T14:11:52Z,51.3525,0.5874999999999999,169,2018-06-08T14:19:54Z,51.2422222222222,2.1777777777777807,290
UAL935,N35953,EGLL,KLAX,2018-06-08T13:39:00Z,2018-06-08T13:10:00Z,2018-06-08T13:10:00Z,IFR,B789,H,09R,231,DEP,219111094,2018-06-08T13:49:19Z,52.1427777777778,-0.405,139,2018-06-08T13:57:23Z,53.0711111111111,-1.26361111111111,272
ACA889,CFOCA,EGLL,CYOW,2018-06-08T13:36:00Z,2018-06-08T13:04:00Z,2018-06-08T13:10:00Z,IFR,B763,H,09R,243,DEP,219111095,2018-06-08T13:46:03Z,51.5730555555555,-1.52083333333333,142,2018-06-08T13:54:09Z,51.8588888888889,-3.0727777777777803,318
BAW830,GEUXF,EGLL,EIDW,2018-06-08T13:33:00Z,2018-06-08T13:13:00Z,2018-06-08T13:10:00Z,IFR,A321,MJ,09R,522,DEP,219111088,2018-06-08T13:43:03Z,52.1433333333333,-0.44944444444444404,167,2018-06-08T13:52:08Z,53.00944444444439,-1.5358333333333298,313
BAW81,GCIVL,EGLL,DGAA,2018-06-08T13:52:00Z,2018-06-08T13:20:00Z,2018-06-08T13:10:00Z,IFR,B744,H,09R,357,DEP,219111169,2018-06-08T14:01:44Z,50.8138888888889,-0.546666666666667,157,2018-06-08T14:10:21Z,49.851944444444385,0.10166666666666702,294
SHT18F,GEUPP,EGLL,EGPD,2018-06-08T13:35:00Z,2018-06-08T13:17:00Z,2018-06-08T13:15:00Z,IFR,A319,MJ,09R,519,DEP,219111264,2018-06-08T13:44:33Z,52.1430555555555,-0.41194444444444406,163,2018-06-08T13:53:21Z,53.092777777777805,-1.12916666666667,316
EIN165,EIDVN,EGLL,EIDW,2018-06-08T13:26:00Z,2018-06-08T13:17:00Z,2018-06-08T13:15:00Z,IFR,A320,MJ,09R,223,DEP,219111322,2018-06-08T13:35:42Z,52.1386111111111,-0.585833333333333,188,2018-06-08T13:44:08Z,52.99250000000001,-1.59527777777778,312
BAW287,GXLEE,EGLL,KSFO,2018-06-08T13:37:00Z,2018-06-08T13:12:00Z,2018-06-08T13:15:00Z,IFR,A388,H,09R,565,DEP,219111339,2018-06-08T13:47:55Z,52.14194444444439,-0.3888888888888891,132,2018-06-08T13:57:46Z,53.01694444444439,-1.51222222222222,293
BAW97A,GYMMI,EGLL,KIAH,2018-06-08T16:33:00Z,2018-06-08T16:11:00Z,2018-06-08T13:15:00Z,IFR,B772,H,09R,565,DEP,219116450,2018-06-08T16:43:29Z,51.554722222222196,-1.52361111111111,151,2018-06-08T16:51:55Z,52.06250000000001,-2.9744444444444396,288
BAW119,GYMMF,EGLL,VOBL,2018-06-08T14:55:00Z,2018-06-08T14:25:00Z,2018-06-08T13:20:00Z,IFR,B772,H,09R,544,DEP,219113299,NA,NA,NA,NA,NA,NA,NA,NA
SWR25N,HBJVL,EGLL,LSGG,2018-06-08T14:02:00Z,2018-06-08T13:35:00Z,2018-06-08T13:20:00Z,IFR,E190,MJ,09R,218L,DEP,219111410,2018-06-08T14:11:54Z,50.836388888888905,-0.17444444444444407,164,2018-06-08T14:20:55Z,49.96666666666669,0.6375,285
BAW480,GEUUV,EGLL,LEBL,2018-06-08T13:50:00Z,2018-06-08T13:21:00Z,2018-06-08T13:20:00Z,IFR,A320,MJ,09R,311,DEP,219111414,2018-06-08T13:59:34Z,50.81416666666669,-0.5586111111111111,167,2018-06-08T14:08:30Z,49.8405555555555,0.0152777777777778,289
UAE2,A6EDT,EGLL,OMDB,2018-06-08T14:17:00Z,2018-06-08T13:46:00Z,2018-06-08T13:20:00Z,IFR,A388,H,09R,307,DEP,219111512,2018-06-08T14:25:46Z,51.3652777777778,0.5902777777777779,86,2018-06-08T14:34:37Z,51.2502777777778,2.17861111111111,249
BAW556,GEUXL,EGLL,LIRF,2018-06-08T14:13:00Z,2018-06-08T13:31:00Z,2018-06-08T13:20:00Z,IFR,A321,MJ,09R,509,DEP,219111625,2018-06-08T14:21:06Z,51.3636111111111,0.59,164,2018-06-08T14:29:34Z,51.16638888888891,2.1558333333333297,288
AAL737,N276AY,EGLL,KPHL,2018-06-08T13:54:00Z,2018-06-08T13:24:00Z,2018-06-08T13:25:00Z,IFR,A333,H,09R,330,DEP,219111601,2018-06-08T14:04:12Z,51.5722222222222,-1.52,161,2018-06-08T14:12:58Z,51.84194444444439,-3.0794444444444395,286
BAW15K,GVIIA,EGLL,KJFK,2018-06-08T13:42:00Z,2018-06-08T13:21:00Z,2018-06-08T13:25:00Z,IFR,B772,H,09R,554,DEP,219111627,2018-06-08T13:53:06Z,51.57666666666669,-1.52,146,2018-06-08T14:01:59Z,51.76444444444439,-3.10222222222222,294
AAL105,N729AN,EGLL,KJFK,2018-06-08T14:00:00Z,2018-06-08T13:25:00Z,2018-06-08T13:30:00Z,IFR,B77W,H,09R,322,DEP,219111739,2018-06-08T14:09:36Z,51.55,-1.5247222222222199,130,2018-06-08T14:17:53Z,51.877222222222194,-3.06555555555556,294
VIR45W,GVGEM,EGLL,KJFK,2018-06-08T14:05:00Z,2018-06-08T13:38:00Z,2018-06-08T13:30:00Z,IFR,A333,H,09R,313,DEP,219111762,2018-06-08T14:14:47Z,51.6086111111111,-1.51111111111111,134,2018-06-08T14:23:18Z,51.89944444444439,-3.0580555555555597,240
BAW354N,GEUYE,EGLL,LFMN,2018-06-08T13:56:00Z,2018-06-08T13:29:00Z,2018-06-08T13:30:00Z,IFR,A320,MJ,09R,526,DEP,219111935,2018-06-08T14:06:09Z,50.81722222222219,-0.32611111111111096,196,2018-06-08T14:14:58Z,49.96444444444439,0.627777777777778,320
BAW64CF,GBNWB,EGLL,LIRF,2018-06-08T14:20:00Z,2018-06-08T13:55:00Z,2018-06-08T13:30:00Z,IFR,B763,H,09R,505,DEP,219111806,2018-06-08T14:29:43Z,50.821388888888904,-0.27888888888888913,184,2018-06-08T14:38:02Z,49.95083333333329,0.5822222222222219,349
EWG6TN,DAGWL,EGLL,EDDT,2018-06-08T13:51:00Z,2018-06-08T13:33:00Z,2018-06-08T13:35:00Z,IFR,A319,MJ,09R,225,DEP,219111994,2018-06-08T13:59:43Z,51.851944444444385,0.4266666666666671,161,2018-06-08T14:07:55Z,52.294444444444395,1.89083333333333,281
BAW19V,GCIVB,EGLL,KDEN,2018-06-08T14:11:00Z,2018-06-08T13:40:00Z,2018-06-08T13:40:00Z,IFR,B744,H,09R,335,DEP,219112115,2018-06-08T14:21:09Z,51.6030555555555,-1.5116666666666698,148,2018-06-08T14:29:15Z,51.8775,-3.06583333333333,271
BAW432,GEUYA,EGLL,EHAM,2018-06-08T14:09:00Z,2018-06-08T13:45:00Z,2018-06-08T13:40:00Z,IFR,A320,MJ,09R,525,DEP,219112189,2018-06-08T14:18:48Z,51.8338888888889,0.44666666666666704,152,2018-06-08T14:27:36Z,52.133333333333304,2.01722222222222,230
BAW279,GZBKF,EGLL,KSJC,2018-06-08T14:06:00Z,2018-06-08T13:39:00Z,2018-06-08T13:40:00Z,IFR,B789,H,09R,537,DEP,219112216,2018-06-08T14:16:16Z,52.129444444444395,-0.683611111111111,155,2018-06-08T14:24:12Z,52.987777777777794,-1.61472222222222,276
BAW542,GEUYD,EGLL,LIPE,2018-06-08T15:11:00Z,2018-06-08T14:04:00Z,2018-06-08T13:45:00Z,IFR,A320,MJ,09R,524,DEP,219112326,2018-06-08T15:19:34Z,51.36194444444439,0.590833333333333,174,2018-06-08T15:28:08Z,51.1877777777778,2.1636111111111105,306
KLM1018,PHBXI,EGLL,EHAM,2018-06-08T14:14:00Z,2018-06-08T13:55:00Z,2018-06-08T13:45:00Z,IFR,B738,MJ,09R,408,DEP,219112354,2018-06-08T14:23:06Z,51.865,0.4127777777777781,152,2018-06-08T14:31:14Z,52.1575,2.0027777777777804,230
EWG7JP,DAIPW,EGLL,EDDK,2018-06-08T15:19:00Z,2018-06-08T14:46:00Z,2018-06-08T13:45:00Z,IFR,A320,MJ,09R,224,DEP,NA,NA,NA,NA,NA,NA,NA,NA,NA
EIN38W,EIDES,EGLL,EINN,2018-06-08T14:15:00Z,2018-06-08T13:45:00Z,2018-06-08T13:45:00Z,IFR,A320,MJ,09R,221R,DEP,219112329,2018-06-08T14:24:37Z,51.5838888888889,-1.51777777777778,192,2018-06-08T14:33:10Z,51.8438888888889,-3.07916666666667,317
BAW9CG,GBYGE,EGLL,KPHX,2018-06-08T14:23:00Z,2018-06-08T13:51:00Z,2018-06-08T13:45:00Z,IFR,B744,H,09R,334,DEP,219112371,2018-06-08T14:33:17Z,52.1427777777778,-0.41944444444444406,163,2018-06-08T14:41:16Z,53.0836111111111,-1.18694444444444,316
BAW68H,GTTNB,EGLL,LHBP,2018-06-08T14:38:00Z,2018-06-08T14:13:00Z,2018-06-08T13:50:00Z,IFR,A320,MJ,09R,329,DEP,219112821,2018-06-08T14:48:08Z,51.8163888888889,0.46444444444444405,178,2018-06-08T14:56:44Z,52.0797222222222,2.05111111111111,315
UAL959,N642UA,EGLL,KORD,2018-06-08T14:19:00Z,2018-06-08T13:48:00Z,2018-06-08T13:50:00Z,IFR,B763,H,09R,249,DEP,219112468,2018-06-08T14:30:02Z,51.56194444444439,-1.5219444444444397,149,2018-06-08T14:38:14Z,51.8588888888889,-3.07166666666667,281
EWG5JE,DAKNS,EGLL,EDDH,2018-06-08T14:16:00Z,2018-06-08T13:50:00Z,2018-06-08T13:50:00Z,IFR,A319,MJ,09R,218R,DEP,219112444,2018-06-08T14:25:26Z,51.8405555555555,0.4391666666666671,181,2018-06-08T14:33:53Z,52.262777777777806,1.9191666666666698,326
ROT392M,YRASD,EGLL,LROP,2018-06-08T15:13:00Z,2018-06-08T14:42:00Z,2018-06-08T13:50:00Z,IFR,A318,MJ,09R,401,DEP,219113374,2018-06-08T15:21:09Z,51.36416666666669,0.591388888888889,152,2018-06-08T15:29:11Z,51.120555555555505,2.14166666666667,300
BAW223,GZBJG,EGLL,KBNA,2018-06-08T17:39:00Z,2018-06-08T17:02:00Z,2018-06-08T13:55:00Z,IFR,B788,H,09R,534,DEP,219118386,2018-06-08T17:48:48Z,51.61444444444439,-1.50833333333333,154,2018-06-08T17:57:04Z,51.965555555555504,-3.0269444444444398,288
BAW14R,GBNWZ,EGLL,LSZH,2018-06-08T15:36:00Z,2018-06-08T14:34:00Z,2018-06-08T13:55:00Z,IFR,B763,H,09R,513,DEP,219113708,2018-06-08T15:44:15Z,51.39638888888891,0.599444444444444,172,2018-06-08T15:52:27Z,51.1011111111111,2.13555555555556,326
BAW141M,GEUYL,EGLL,LIMC,2018-06-08T14:39:00Z,2018-06-08T14:16:00Z,2018-06-08T14:00:00Z,IFR,A320,MJ,09R,517,DEP,219112656,2018-06-08T14:48:54Z,50.82638888888891,-0.23750000000000002,179,2018-06-08T14:57:31Z,49.955833333333295,0.6016666666666669,308
DAH2055,7TVKQ,EGLL,DAAG,2018-06-08T14:44:00Z,2018-06-08T14:14:00Z,2018-06-08T14:00:00Z,IFR,B738,MJ,09R,409,DEP,219112688,2018-06-08T14:53:45Z,50.81083333333329,-0.44333333333333297,169,2018-06-08T15:02:13Z,49.8413888888889,0.028055555555555608,313
ETD15R,A6API,EGLL,OMAA,2018-06-08T14:26:00Z,2018-06-08T13:59:00Z,2018-06-08T14:00:00Z,IFR,A388,H,09R,410,DEP,219112638,2018-06-08T14:35:23Z,51.8022222222222,0.475833333333333,116,2018-06-08T14:43:51Z,52.0461111111111,2.0697222222222202,268
BAW960M,GEUXI,EGLL,EDDM,2018-06-08T14:30:00Z,2018-06-08T13:59:00Z,2018-06-08T14:00:00Z,IFR,A321,MJ,09R,501,DEP,219112672,2018-06-08T14:40:22Z,51.7977777777778,0.480555555555556,130,2018-06-08T14:49:03Z,52.035000000000004,2.0763888888888897,284
ACA849,CFIVM,EGLL,CYYZ,2018-06-08T14:24:00Z,2018-06-08T14:02:00Z,2018-06-08T14:00:00Z,IFR,B77W,H,09R,242,DEP,219112877,2018-06-08T14:34:21Z,51.5680555555556,-1.52138888888889,194,2018-06-08T14:42:07Z,51.85777777777779,-3.0725,334
BAW502,GTTNA,EGLL,LPPT,2018-06-08T14:46:00Z,2018-06-08T14:16:00Z,2018-06-08T14:05:00Z,IFR,A320,MJ,09R,303L,DEP,219113002,2018-06-08T14:55:00Z,51.0622222222222,-1.2925,183,2018-06-08T15:03:19Z,50.231111111111105,-2.2136111111111103,318
BAW910N,GEUYN,EGLL,EDDF,2018-06-08T14:32:00Z,2018-06-08T14:08:00Z,2018-06-08T14:05:00Z,IFR,A320,MJ,09R,507,DEP,219112938,2018-06-08T14:41:44Z,51.9347222222222,0.320555555555556,150,2018-06-08T14:50:30Z,52.28416666666669,1.9033333333333298,317
QTR004,A7APG,EGLL,OTHH,2018-06-08T14:36:00Z,2018-06-08T14:06:00Z,2018-06-08T14:05:00Z,IFR,A388,H,09R,405,DEP,219113006,2018-06-08T14:44:45Z,51.310555555555595,0.571666666666667,137,2018-06-08T14:53:07Z,51.1422222222222,2.14638888888889,289
AAL79,N733AR,EGLL,KDFW,2018-06-08T14:34:00Z,2018-06-08T14:09:00Z,2018-06-08T14:05:00Z,IFR,B77W,H,09R,342,DEP,219112969,2018-06-08T14:43:51Z,52.1386111111111,-0.6002777777777779,172,2018-06-08T14:51:57Z,53.00694444444439,-1.5480555555555602,316
BAW316,GEUOA,EGLL,LFPG,2018-06-08T14:53:00Z,2018-06-08T14:24:00Z,2018-06-08T14:05:00Z,IFR,A319,MJ,09R,515,DEP,219113017,2018-06-08T15:02:14Z,50.8733333333333,-0.013888888888888902,218,2018-06-08T15:11:23Z,50.0430555555555,0.8736111111111111,245
BAW462,GEUUF,EGLL,LEMD,2018-06-08T14:31:00Z,2018-06-08T14:11:00Z,2018-06-08T14:10:00Z,IFR,A320,MJ,09R,511,DEP,219113038,2018-06-08T14:41:23Z,50.9805555555555,-1.1688888888888902,173,2018-06-08T14:50:09Z,50.1202777777778,-1.9919444444444396,298
SVA106,HZAK41,EGLL,OERK,2018-06-08T14:33:00Z,2018-06-08T14:01:00Z,2018-06-08T14:10:00Z,IFR,B77W,H,09R,411,DEP,219113098,2018-06-08T14:42:27Z,51.3088888888889,0.571666666666667,127,2018-06-08T14:51:27Z,51.0575,2.1158333333333297,318
BAW2LT,GEUOH,EGLL,EDDL,2018-06-08T14:40:00Z,2018-06-08T14:17:00Z,2018-06-08T14:10:00Z,IFR,A319,MJ,09R,508,DEP,219113105,2018-06-08T14:49:58Z,51.9133333333333,0.351944444444444,160,2018-06-08T14:59:07Z,52.15694444444439,2.00444444444444,298
BAW64G,GEUPN,EGLL,LFSB,2018-06-08T14:52:00Z,2018-06-08T14:15:00Z,2018-06-08T14:10:00Z,IFR,A319,MJ,09R,502,DEP,219113081,2018-06-08T15:00:50Z,51.3227777777778,0.5769444444444441,196,2018-06-08T15:09:23Z,51.16555555555551,2.15638888888889,343
BAW734,GEUPW,EGLL,LSGG,2018-06-08T14:59:00Z,2018-06-08T14:28:00Z,2018-06-08T14:15:00Z,IFR,A319,MJ,09R,512,DEP,219113290,2018-06-08T15:08:47Z,50.8138888888889,-0.37027777777777804,185,2018-06-08T15:17:43Z,49.9647222222222,0.628333333333333,331
BAW277,GZBKL,EGLL,VOHS,2018-06-08T14:42:00Z,2018-06-08T14:22:00Z,2018-06-08T14:15:00Z,IFR,B789,H,09R,533,DEP,219113204,2018-06-08T14:51:17Z,50.82416666666669,-0.25333333333333297,140,2018-06-08T14:59:42Z,49.97416666666669,0.6641666666666668,271
AAL135,N717AN,EGLL,KLAX,2018-06-08T15:34:00Z,2018-06-08T15:03:00Z,2018-06-08T14:15:00Z,IFR,B77W,H,09R,331,DEP,219114024,2018-06-08T15:43:53Z,52.133333333333304,-0.6519444444444441,173,2018-06-08T15:51:50Z,53.031388888888905,-1.4447222222222198,299
